Common MCU Registers to Host I2C Addr (LookupTable),,,,,,,,,,,,,,
Host I2C addr,Read/Write,Save Where,Saved,Flash Addr,,Description,,,,,,,,
0xBB,RW,FLASH,YES,62267,F33B,Ddmi rxpower[ch1] cali RSSI1[LSB],,,,,,,,
0xBC,,,,,,Ddmi rxpower[ch1] cali RXPOWER2[MSB],,,,,,,,
0xBD,,,,,,Ddmi rxpower[ch1] cali RXPOWER2[LSB],,,,,,,,
0xBE,,,,,,Ddmi rxpower[ch1] cali RSSI2[MSB],,,,,,,,
0xBF,,,,,,Ddmi rxpower[ch1] cali RSSI2[LSB],"tx power = TX POWER1
                      + (TX POWER1-TX POWER2)/(DDMI_BIAS1-DDMI_BIAS2)
                                * (bias_rt - bias_ct + ddmi_bias_ct)-DDMI_BIAS1)

TXPOWER1/TXPOWER2为校准时2个不同发送光功率的仪表测量值
bias_rt 为校准时常温下bias寄存器设置值 (page 6)
DDMI_BIAS1/DDMI_BIAS2为校准时2个不通发送光功率的bias反馈寄存器或ADC读取值 (page 6)
bias_ct为当前bias寄存器设置值
bias_ddmi_ct为为当前bias反馈仅存器或ADC读取值",,,,,,,
0xC0,,,,,,Ddmi txpower[ch1] cali TXPOWER1[MSB],,,,,,,,
0xC1,,,,,,Ddmi txpower[ch1] cali TXPOWER1[LSB],,,,,,,,
0xC2,,,,,,Ddmi txpower[ch1] cali BIAS1[MSB],,,,,,,,
0xC3,,,,,,Ddmi txpower[ch1] cali BIAS1[LSB],,,,,,,,
0xC4,,,,,,Ddmi txpower[ch1] cali TXPOWER2[MSB],,,,,,,,
0xC5,,,,,,Ddmi txpower[ch1] cali TXPOWER2[LSB],,,,,,,,
0xC6,,,,,,Ddmi txpower[ch1] cali BIAS2[MSB],,,,,,,,
0xC7,,,,,,Ddmi txpower[ch1] cali BIAS2[LSB],,,,,,,,
0xC8,,,,,,Ddmi bias[ch2] cali offset1[MSB],,,,,,,,
0xC9,,,,,,Ddmi bias[ch2] cali offset1[LSB],,,,,,,,
0xCA,,,,,,Ddmi bias[ch2] cali offset2[MSB],,,,,,,,
0xCB,,,,,,Ddmi bias[ch2] cali offset2[LSB],,,,,,,,
0xCC,,,,,,Ddmi rxpower[ch2] cali RXPOWER1[MSB],,,,,,,,
0xCD,,,,,,Ddmi rxpower[ch2] cali RXPOWER1[LSB],,,,,,,,
0xCE,,,,,,Ddmi rxpower[ch2] cali RSSI1[MSB],,,,,,,,
0xCF,,,,,,Ddmi rxpower[ch2] cali RSSI1[LSB],,,,,,,,
0xD0,,,,,,Ddmi rxpower[ch2] cali RXPOWER2[MSB],,,,,,,,
0xD1,,,,,,Ddmi rxpower[ch2] cali RXPOWER2[LSB],,,,,,,,
0xD2,,,,,,Ddmi rxpower[ch2] cali RSSI2[MSB],,,,,,,,
0xD3,,,,,,Ddmi rxpower[ch2] cali RSSI2[LSB],,,,,,,,
0xD4,,,,,,Ddmi txpower[ch2] cali TXPOWER1[MSB],,,,,,,,
0xD5,,,,,,Ddmi txpower[ch2] cali TXPOWER1[LSB],,,,,,,,
0xD6,,,,,,Ddmi txpower[ch2] cali BIAS1[MSB],,,,,,,,
0xD7,,,,,,Ddmi txpower[ch2] cali BIAS1[LSB],,,,,,,,
0xD8,,,,,,Ddmi txpower[ch2] cali TXPOWER2[MSB],,,,,,,,
0xD9,,,,,,Ddmi txpower[ch2] cali TXPOWER2[LSB],,,,,,,,
0xDA,,,,,,Ddmi txpower[ch2] cali BIAS2[MSB],,,,,,,,
0xDB,,,,,,Ddmi txpower[ch2] cali BIAS2[LSB],,,,,,,,
0xDC,,,,,,Ddmi bias[ch3] cali offset1[MSB],,,,,,,,
0xDD,,,,,,Ddmi bias[ch3] cali offset1[LSB],,,,,,,,
0xDE,,,,,,Ddmi bias[ch3] cali offset2[MSB],,,,,,,,
0xDF,,,,,,Ddmi bias[ch3] cali offset2[LSB],,,,,,,,
0xE0,,,,,,Ddmi rxpower[ch3] cali RXPOWER1[MSB],,,,,,,,
0xE1,,,,,,Ddmi rxpower[ch3] cali RXPOWER1[LSB],,,,,,,,
0xE2,,,,,,Ddmi rxpower[ch3] cali RSSI1[MSB],,,,,,,,
0xE3,,,,,,Ddmi rxpower[ch3] cali RSSI1[LSB],,,,,,,,
0xE4,,,,,,Ddmi rxpower[ch3] cali RXPOWER2[MSB],,,,,,,,
0xE5,,,,,,Ddmi rxpower[ch3] cali RXPOWER2[LSB],,,,,,,,
0xE6,,,,,,Ddmi rxpower[ch3] cali RSSI2[MSB],,,,,,,,
0xE7,,,,,,Ddmi rxpower[ch3] cali RSSI2[LSB],,,,,,,,
0xE8,,,,,,Ddmi txpower[ch3] cali TXPOWER1[MSB],,,,,,,,
0xE9,,,,,,Ddmi txpower[ch3] cali TXPOWER1[LSB],,,,,,,,
0xEA,,,,,,Ddmi txpower[ch3] cali BIAS1[MSB],,,,,,,,
0xEB,,,,,,Ddmi txpower[ch3] cali BIAS1[LSB],,,,,,,,
0xEC,,,,,,Ddmi txpower[ch3] cali TXPOWER2[MSB],,,,,,,,
0xED,,,,,,Ddmi txpower[ch3] cali TXPOWER2[LSB],,,,,,,,
0xEE,,,,,,Ddmi txpower[ch3] cali BIAS2[MSB],,,,,,,,
0xEF,,,,,,Ddmi txpower[ch3] cali BIAS2[LSB],,,,,,,,
0xF0,,,,,,,,,,,,,,
0xF1,,,,,,,,,,,,,,
0xF2,,,,,,,,,,,,,,
0xF3,,,,,,,,,,,,,,
0xF4,,,,,,,,,,,,,,
0xF5,,,,,,,,,,,,,,
0xF6,,,,,,,,,,,,,,
0xF7,,,,,,,,,,,,,,
0xF8,,,,,,,,,,,,,,
0xF9,,,,,,,,,,,,,,
0xFA,,,,,,,,,,,,,,
0xFB,,,,,,,,,,,,,,
0xFC,,,,,,,,,,,,,,
0xFD,,,,,,,,,,,,,,
0xFE,,,,,,TEC_TARGET[MSB],"ADC code值，Readback Voltage 表示内部温度,",,,,,,,
0xFF,,,,,,TEC_TARGET[LSB],,,,,,,,
