Host I2C addr,Read/Write,Save Where,Saved,Flash Addr,Description, 
0xB8,RW,FLASH,YES,0xF3B8,rssi[3][LO][MSB],
0xB9,RW,FLASH,YES,0xF3B9,rssi[3][LO][LSB],
0xBA,RW,FLASH,YES,0xF3BA,mpd[0][HI][MSB],
0xBB,RW,FLASH,YES,0xF3BB,mpd[0][HI][LSB],
0xBC,RW,FLASH,YES,0xF3BC,mpd[0][LO][MSB],
0xBD,RW,FLASH,YES,0xF3BD,mpd[0][LO][LSB],
0xBE,RW,FLASH,YES,0xF3BE,mpd[1][HI][MSB],
0xBF,RW,FLASH,YES,0xF3BF,mpd[1][HI][LSB],
0xC0,RW,FLASH,YES,0xF3C0,mpd[1][LO][MSB],
0xC1,RW,FLASH,YES,0xF3C1,mpd[1][LO][LSB],
0xC2,RW,FLASH,YES,0xF3C2,mpd[2][HI][MSB],
0xC3,RW,FLASH,YES,0xF3C3,mpd[2][HI][LSB],
0xC4,RW,FLASH,YES,0xF3C4,mpd[2][LO][MSB],
0xC5,RW,FLASH,YES,0xF3C5,mpd[2][LO][LSB],
0xC6,RW,FLASH,YES,0xF3C6,mpd[3][HI][MSB],
0xC7,RW,FLASH,YES,0xF3C7,mpd[3][HI][LSB],
0xC8,RW,FLASH,YES,0xF3C8,mpd[3][LO][MSB],
0xC9,RW,FLASH,YES,0xF3C9,mpd[3][LO][LSB],
0xCA,RW,FLASH,YES,0xF3CA,,
0xCB,RW,FLASH,YES,0xF3CB,,
0xCC,RW,FLASH,YES,0xF3CC,,
0xCD,RW,FLASH,YES,0xF3CD,,
0xCE,RW,FLASH,YES,0xF3CE,,
0xCF,RW,FLASH,YES,0xF3CF,,
0xD0,RW,FLASH,YES,0xF3D0,,
0xD1,RW,FLASH,YES,0xF3D1,,
0xD2,RW,FLASH,YES,0xF3D2,,
0xD3,RW,FLASH,YES,0xF3D3,,
0xD4,RW,FLASH,YES,0xF3D4,,
0xD5,RW,FLASH,YES,0xF3D5,,
0xD6,RW,FLASH,YES,0xF3D6,,
0xD7,RW,FLASH,YES,0xF3D7,,
0xD8,RW,FLASH,YES,0xF3D8,,
0xD9,RW,FLASH,YES,0xF3D9,,
0xDA,RW,FLASH,YES,0xF3DA,,
0xDB,RW,FLASH,YES,0xF3DB,,
0xDC,RW,FLASH,YES,0xF3DC,,
0xDD,RW,FLASH,YES,0xF3DD,,
0xDE,RW,FLASH,YES,0xF3DE,,
0xDF,RW,FLASH,YES,0xF3DF,,
0xE0,RW,FLASH,YES,0xF3E0,,
0xE1,RW,FLASH,YES,0xF3E1,,
0xE2,RW,FLASH,YES,0xF3E2,,
0xE3,RW,FLASH,YES,0xF3E3,,
0xE4,RW,FLASH,YES,0xF3E4,,
0xE5,RW,FLASH,YES,0xF3E5,,
0xE6,RW,FLASH,YES,0xF3E6,,
0xE7,RW,FLASH,YES,0xF3E7,,
0xE8,RW,FLASH,YES,0xF3E8,,
0xE9,RW,FLASH,YES,0xF3E9,,
0xEA,RW,FLASH,YES,0xF3EA,,
0xEB,RW,FLASH,YES,0xF3EB,,
0xEC,RW,FLASH,YES,0xF3EC,,
0xED,RW,FLASH,YES,0xF3ED,,
0xEE,RW,FLASH,YES,0xF3EE,,
0xEF,RW,FLASH,YES,0xF3EF,,
0xF0,RW,FLASH,YES,0xF3F0,,
0xF1,RW,FLASH,YES,0xF3F1,,
0xF2,RW,FLASH,YES,0xF3F2,,
0xF3,RW,FLASH,YES,0xF3F3,,
0xF4,RW,FLASH,YES,0xF3F4,,
0xF5,RW,FLASH,YES,0xF3F5,,
0xF6,RW,FLASH,YES,0xF3F6,,
0xF7,RW,FLASH,YES,0xF3F7,,
0xF8,RW,FLASH,YES,0xF3F8,,
0xF9,RW,FLASH,YES,0xF3F9,,
0xFA,RW,FLASH,YES,0xF3FA,,
0xFB,RW,FLASH,YES,0xF3FB,,
0xFC,RW,FLASH,YES,0xF3FC,,
0xFD,RW,FLASH,YES,0xF3FD,,
0xFE,RW,FLASH,YES,0xF3FE,,
0xFF,RW,FLASH,YES,0xF3FF,,
