Common MCU Registers to Host I2C Addr,,,,,,,,
Host I2C addr,Read/Write,Save Where,Saved,Flash Addr,Description,,,
0xC3,RW,FLASH,YES,0xF243,supercode[0],ATE_INIT,MAO,
0xC4,RW,FLASH,YES,0xF244,supercode[1],ATE_INIT,MAO,
0xC5,RW,FLASH,YES,0xF245,supercode[2],ATE_INIT,MAO,
0xC6,RW,FLASH,YES,0xF246,supercode[3],ATE_INIT,MAO,
0xC7,RW,FLASH,YES,0xF247,supercode[4],ATE_INIT,MAO,
0xC8,RW,FLASH,YES,0xF248,supercode[5],ATE_INIT,MAO,
0xC9,RW,FLASH,YES,0xF249,supercode[6],ATE_INIT,MAO,
0xCA,RW,FLASH,YES,0xF24A,supercode[7],ATE_INIT,MAO,
0xCB,RW,FLASH,YES,0xF24B,supercode[8],ATE_INIT,MAO,
0xCC,RW,FLASH,YES,0xF24C,pic_code[0],ATE_TEST,,
0xCD,RW,FLASH,YES,0xF24D,pic_code[1],ATE_TEST,,
0xCE,RW,FLASH,YES,0xF24E,pic_code[2],ATE_TEST,,
0xCF,RW,FLASH,YES,0xF24F,pic_code[3],ATE_TEST,,
0xD0,RW,FLASH,YES,0xF250,pic_code[4],ATE_TEST,,
0xD1,RW,FLASH,YES,0xF251,pic_code[5],ATE_TEST,,
0xD2,RW,FLASH,YES,0xF252,pic_code[6],ATE_TEST,,
0xD3,RW,FLASH,YES,0xF253,pic_code[7],ATE_TEST,,
0xD4,RW,FLASH,YES,0xF254,pic_code[8],ATE_TEST,,
0xD5,RW,FLASH,YES,0xF255,pic_code[9],ATE_TEST,,
0xD6,RW,FLASH,YES,0xF256,pic_code[10],ATE_TEST,,
0xD7,RW,FLASH,YES,0xF257,pic_code[11],ATE_TEST,,
0xD8,RW,FLASH,YES,0xF258,pic_code[12],ATE_TEST,,
0xD9,RW,FLASH,YES,0xF259,pic_code[13],ATE_TEST,,
0xDA,RW,FLASH,YES,0xF25A,pic_code[14],ATE_TEST,,
0xDB,RW,FLASH,YES,0xF25B,pic_code[15],ATE_TEST,,
0xDC,RW,FLASH,YES,0xF25C,pic_code[16],ATE_TEST,,
0xDD,RW,FLASH,YES,0xF25D,pic_code[17],ATE_TEST,,
0xDE,RW,FLASH,YES,0xF25E,class,ATE_TEST,,
0xDF,RW,FLASH,YES,0xF25F,Factory_reset Flag,,"0x0:Not Factory_reset
0x1:Factory_reset OK",
0xE0,RW,FLASH,YES,0xF260,SR4/AOC Switch Flag,,"0x0:AOC
0x1:SR4",
0xE1,RW,FLASH,YES,0xF261,Init EEPROM Flag,,"0x0:Not Init
0x1:Init OK",
0xE2,RW,FLASH,YES,0xF262,Init EEPROM Data Size,,Data Size in Page 9,
0xE3,RW,FLASH,YES,0xF263,,,,
0xE4,RW,FLASH,YES,0xF264,,,,
0xE5,RW,FLASH,YES,0xF265,,,,
0xE6,RW,FLASH,YES,0xF266,,,,
0xE7,RW,FLASH,YES,0xF267,,,,
0xE8,RW,FLASH,YES,0xF268,,,,
0xE9,RW,FLASH,YES,0xF269,"老化项使能：
0x1: temp
0x2: vcc
0x4: ibias
0x8: rssi
0x10: mpd",,"bit位对应的老化项使能
0表示disable",
0xEA,RW,FLASH,YES,0xF26A,AGE_TIME[MSB],,minutes,
0xEB,RW,FLASH,YES,0xF26B,AGE_TIME[LSB],,,
0xEC,RW,FLASH,YES,0xF26C,temp_thrld[HI][MSB],,,
0xED,RW,FLASH,YES,0xF26D,temp_thrld[HI][LSB],,,
0xEE,RW,FLASH,YES,0xF26E,temp_thrld[LO][MSB],,,
0xEF,RW,FLASH,YES,0xF26F,temp_thrld[LO][LSB],,,
0xF0,RW,FLASH,YES,0xF270,vcc_thrld[HI][MSB],,,
0xF1,RW,FLASH,YES,0xF271,vcc_thrld[HI][LSB],,,
0xF2,RW,FLASH,YES,0xF272,vcc_thrld[LO][MSB],,,
0xF3,RW,FLASH,YES,0xF273,vcc_thrld[LO][LSB],,,
0xF4,RW,FLASH,YES,0xF274,ibias_thrld[HI][MSB],,,
0xF5,RW,FLASH,YES,0xF275,ibias_thrld[HI][LSB],,,
0xF6,RW,FLASH,YES,0xF276,ibias_thrld[LO][MSB],,,
0xF7,RW,FLASH,YES,0xF277,ibias_thrld[LO][LSB],,,
0xF8,RW,FLASH,YES,0xF278,rssi_thrld[HI][MSB],,,
0xF9,RW,FLASH,YES,0xF279,rssi_thrld[HI][LSB],,,
0xFA,RW,FLASH,YES,0xF27A,rssi_thrld[LO][MSB],,,
0xFB,RW,FLASH,YES,0xF27B,rssi_thrld[LO][LSB],,,
0xFC,RW,FLASH,YES,0xF27C,mpd_thrld[HI][MSB],,,
0xFD,RW,FLASH,YES,0xF27D,mpd_thrld[HI][LSB],,,
0xFE,RW,FLASH,YES,0xF27E,mpd_thrld[LO][MSB],,,
0xFF,RW,FLASH,YES,0xF27F,mpd_thrld[LO][LSB],,,
